"site","date","sample_id","life_stage","size_class_1","size_class_2","size_class_3","size_class_4","size_class_5","size_class_6","size_class_7","size_class_8","size_class_9","size_class_10","size_class_11","size_class_12","size_class_13","size_class_14","size_class_15","size_class_16","size_class_17","size_class_18","size_class_19","size_class_20","size_class_21","size_class_22","size_class_23","size_class_24","size_class_25","size_class_26","size_class_27","sum"
"Q",2016-04-21,"Q_2016-04-21","sum",37,1,1,0,0,0,1,0,1,0,0,3,2,1,1,3,1,2,0,1,0,0,0,1,0,0,0,56
"Q",2016-06-25,"Q_2016-06-25","m",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Q",2016-06-25,"Q_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q",2016-06-25,"Q_2016-06-25","fn",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Q",2016-06-25,"Q_2016-06-25","j",8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Q",2016-06-25,"Q_2016-06-25","sum",8,3,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"R",2016-04-22,"R_2016-04-22","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-04-22,"R_2016-04-22","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-04-22,"R_2016-04-22","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-04-22,"R_2016-04-22","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-04-22,"R_2016-04-22","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-06-25,"R_2016-06-25","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-06-25,"R_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-06-25,"R_2016-06-25","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R",2016-06-25,"R_2016-06-25","j",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"R",2016-06-25,"R_2016-06-25","sum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"S",2016-04-22,"S_2016-04-22","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S",2016-04-22,"S_2016-04-22","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S",2016-04-22,"S_2016-04-22","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S",2016-04-22,"S_2016-04-22","j",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"S",2016-04-22,"S_2016-04-22","sum",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"S",2016-06-25,"S_2016-06-25","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S",2016-06-25,"S_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S",2016-06-25,"S_2016-06-25","fn",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"S",2016-06-25,"S_2016-06-25","j",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"S",2016-06-25,"S_2016-06-25","sum",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"T",2016-04-22,"T_2016-04-22","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"T",2016-04-22,"T_2016-04-22","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",2016-04-22,"T_2016-04-22","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",2016-04-22,"T_2016-04-22","j",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"T",2016-04-22,"T_2016-04-22","sum",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
"T",2016-06-25,"T_2016-06-25","m",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"T",2016-06-25,"T_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",2016-06-25,"T_2016-06-25","fn",0,0,0,0,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"T",2016-06-25,"T_2016-06-25","j",13,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"T",2016-06-25,"T_2016-06-25","sum",13,4,2,1,3,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"X",2016-05-24,"X_2016-05-24","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",2016-05-24,"X_2016-05-24","fo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"X",2016-05-24,"X_2016-05-24","fn",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"X",2016-05-24,"X_2016-05-24","j",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"X",2016-05-24,"X_2016-05-24","sum",44,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"Y",2016-05-20,"Y_2016-05-20","m",0,0,0,0,0,0,0,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Y",2016-05-20,"Y_2016-05-20","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y",2016-05-20,"Y_2016-05-20","fn",0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Y",2016-05-20,"Y_2016-05-20","j",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"Y",2016-05-20,"Y_2016-05-20","sum",67,0,0,0,0,0,0,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
"Z",2016-05-20,"Z_2016-05-20","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",2016-05-20,"Z_2016-05-20","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",2016-05-20,"Z_2016-05-20","fn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",2016-05-20,"Z_2016-05-20","j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",2016-05-20,"Z_2016-05-20","sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
