"site","area_mn","frac_cv","lsi","mesh","pd","prd"
"A",60.8346354166667,4.40671795352512,6.83302497687327,832.610495924745,1.64380043235376,0.239720896384923
"B",103.218434343434,4.05043491143112,9.96402077151335,805.337390251869,0.968819190448813,0.0978605242877589
"C",33.0407608695652,4.08305889838237,4.28467815049864,190.484430240974,3.02656468459577,0.921128382268279
"D",85.2325949367089,4.22749393058742,11.2769280482551,950.490245491674,1.17326006645998,0.0816826628548091
"E",50.9936594202899,4.55575993236151,7.63168984407922,250.86281331332,1.96102811872746,0.227365578982894
"F",48.4958333333333,3.57312425387634,4.87854467629749,655.604464326832,2.06203282068906,0.22911475785434
"G",83.5124113475177,3.89610473631507,11.5645012669892,779.208674539819,1.19742680622492,0.0849238869663064
"H",117.956191588785,3.90102647370213,11.1764574988874,1072.18154533106,0.847772369157328,0.0792310625380681
"I",72.2866379310345,4.85363592794762,7.87495175607873,523.65678916848,1.3833815330491,0.143108434453356
"K",103.706879844961,3.95371308540262,13.1478279662848,510.651811564067,0.964256181937949,0.0597988329884
"L",105.904166666667,4.42431093303183,4.07648902821317,581.082485513632,0.944249911476571,0.440649958689066
"M",75.1363636363636,4.01632402080684,8.00173913043478,260.659768905021,1.33091349062311,0.272232304900181
"N",68.2334558823529,4.35497878010204,6.1870783601453,597.532308356906,1.46555672297206,0.301732266494248
"O",77.96875,4.2258523684412,2.89991830065359,254.980229191717,1.28256513026052,0.748162992651971
"P",101.61649408284,4.06081989140188,12.2494276993514,805.34804021931,0.984092207692951,0.0756994005917655
"Q",55.2052083333333,3.72933350999262,6.52453321754234,474.535153916259,1.81142328811065,0.271713493216597
"R",76.0872093023256,3.80928613373063,6.43378496503496,325.856320294949,1.3142813479025,0.213952777565523
"S",109.793269230769,4.40178682881224,13.8715340115699,540.616726691931,0.910802644830757,0.0573232433809567
"T",102.195809248555,4.26862887258731,14.5355329949239,527.407571468265,0.978513705555045,0.045249188696187
