"site","k"
"A",0.0366779166013031
"B",0.0362474631472006
"C",0.00157019729066961
"D",0.0153312702583121
"E",0.0165743210874001
"F",0.0246696086995449
"G",0.0232444219481568
"H",0.0211202062433586
"I",0.00827799116437417
"K",0.0444819724766315
"L",0.0359844595972981
"N",0.00689508870529328
"O",0.0557479768168115
"P",0.033204909685028
"Q",0.0266041320893023
"R",0.0513699048335656
"S",0
"T",0.00157088490077279
